	-32	0	14	-8	5	12	-58	-38
    	5	-1	-4	4	-2	-7	9	-4
	23	-4	-12	7	-10	-9	37	27
    	-3	0	2	-3	1	3	-9	0
	-2	2	1	-1	10	2	-3	-4
    	-13	-6	5	-5	-3	0	-17	-12
	-1	-2	0	1	-3	-5	1	-2
    	1	2	-4	4	2	-1	6	5
	4	-2	3	5	2	-3	0	2
    	-9	0	2	-6	-1	0	-10	-4
	1	-1	0	-2	-3	0	-1	0
    	5	-2	0	1	-5	0	2	1
	2	1	-1	2	1	-2	3	1
    	-3	-2	3	2	2	0	-3	-3
	-3	-3	1	1	2	2	-4	-1
    	2	4	1	1	-1	-1	1	0
	2	-1	-1	-1	0	-1	4	2
    	1	-1	0	-3	2	1	-2	-2
	-4	-2	0	-3	-3	0	-6	-4
    	-2	1	-2	3	4	1	-1	-4
	3	1	-5	-1	-1	2	2	1
    	2	-3	-5	-3	1	-2	2	0
	-4	3	1	-1	0	1	1	1
    	-1	4	3	-2	0	2	-5	-5
	-1	-2	1	1	0	0	-2	-3
    	-1	-1	-4	-4	-3	-1	3	2
	1	2	-1	1	-2	0	5	4
    	-4	2	-1	0	2	-3	-5	-3
	-4	-1	2	-2	0	0	-7	-3
    	1	-3	0	0	1	-2	-2	0
	-2	-1	0	2	-2	0	1	1
    	-3	-5	0	2	-1	0	-1	1
	3	-2	-2	-2	-1	0	-2	0
    	-2	-1	-3	-1	3	1	-3	-2
	-5	0	-2	2	0	0	-4	-2
    	3	-1	-1	1	-1	-2	4	2
	2	3	0	1	-2	-3	5	1
    	-2	-2	3	1	-3	3	-5	-3
	-3	-1	1	-4	0	1	-6	-1
    	1	-1	-3	2	1	-2	1	-2
	2	-3	-1	-1	-1	-3	3	1
    	-2	0	-2	-2	0	1	2	3
	-3	-1	1	2	2	2	-1	-2
    	-1	-4	0	2	0	-3	-2	-5
	-2	3	-2	0	2	-1	-3	-5
    	1	1	0	-1	-2	0	3	3
	4	-3	-2	2	-3	-1	1	4
    	-3	0	1	4	2	1	-4	-4
	-2	-3	1	0	2	-1	-2	-2
    	-1	0	1	-2	0	-2	-2	0
	2	3	1	0	-1	-3	1	4
    	0	-1	-2	-3	-2	0	-1	1
	-3	-2	4	2	0	-2	-3	-1
    	-4	-2	-1	-3	0	1	-3	-4
	0	-2	0	-2	0	-4	0	1
    	2	-1	-2	2	-1	0	6	5
	0	4	-2	3	-1	0	2	1
    	-1	3	-2	-5	-1	-1	-5	-2
	-4	0	0	-2	0	0	-7	-5
    	2	2	0	2	0	0	2	3
	3	1	0	0	-4	1	4	2
    	-1	2	0	-2	1	-2	0	4
	-3	-3	3	-1	0	-1	-8	-4
    	0	0	1	-2	-1	-1	-2	-5
	-3	3	-2	2	-1	2	1	-8
    	2	1	-5	4	0	-1	3	4
	-1	1	0	-2	-1	-3	1	2
    	-5	-4	4	1	-1	1	-3	-4
	-1	-2	2	2	0	-1	-5	1
    	-1	0	-2	0	-2	-1	3	0
	1	2	2	0	-1	1	3	3
    	0	-1	0	1	0	-2	-1	1
	-3	-3	-1	1	3	3	-2	-2
    	0	-4	-2	-1	-3	-1	-2	-1
	-2	-2	1	-2	0	0	0	-3
    	5	0	-1	-1	-3	-3	5	1
	-2	0	1	2	3	1	1	1
    	-2	2	-1	0	-1	3	-2	-5
	-1	0	4	0	0	2	-5	-2
    	1	3	1	1	-3	-2	2	4
	4	5	-1	-2	0	-1	6	1
    	-4	2	1	-3	1	2	-3	-3
	-2	0	0	1	-2	-2	-7	-5
    	0	1	1	-3	0	-1	0	-2
	-1	-5	1	1	1	-4	1	-1
    	2	-1	1	0	-1	1	4	2
	2	1	-1	-3	2	-1	0	0
    	-1	0	1	0	0	-2	-5	-3
	-3	1	-5	-2	-1	0	-3	0
    	1	2	-1	1	0	-1	5	1
	3	1	-2	3	0	4	8	4
    	-3	-3	1	-3	-3	-3	-1	-1
	0	-1	2	-1	1	-2	-4	-3
    	-1	-3	0	-2	4	-1	-4	-2
	0	1	-3	-1	-2	1	-1	-3
    	4	-1	-1	1	-1	1	2	1
	-1	-3	0	0	-1	-2	-4	1
    	-4	0	3	1	-1	2	-5	-4
	-2	3	3	-2	-3	-2	1	-3
    	3	-1	-1	-6	2	-3	5	2
	2	0	1	0	-1	-4	7	-1
    	-2	2	-1	0	2	1	-6	-3
	-4	-4	0	-1	-1	4	0	5
    	1	-2	2	2	4	-1	4	-18
0	1	2	1	0	-2	-4	0	-6	1
    15	-1	1	-3	0	-1	0	-4	3	1
57	-1	1	1	-2	3	2	2	-1	1
    72	-2	-4	2	3	0	0	-5	-4	1
103	-1	0	-1	-2	-1	0	-5	-4	1
    118	5	-1	2	-1	-4	-3	4	5	1
146	0	0	-3	-2	-1	-2	5	3	1
    161	-6	0	3	0	0	1	-16	-3	1
192	-1	-1	2	-1	-2	1	0	-3	1
    207	0	1	-3	-3	0	-3	3	2	1
	6	1	-3	1	-6	-1	1	2
    	-2	1	0	-2	2	1	4	0
	-2	3	-1	1	1	0	-2	-2
    	0	0	2	3	1	-1	-2	-3
	-1	-2	3	-1	-1	-1	0	0
    	2	-1	-1	2	-1	1	3	4
	2	2	0	0	-1	-1	3	5
    	-4	-3	0	-3	3	2	-4	-2
	-6	2	0	2	-3	-1	-3	-5
    	3	-1	1	-3	1	1	3	0
	0	-3	0	0	-1	0	2	-2
    	-5	1	2	2	4	0	2	2
	-3	3	3	-2	-1	0	-3	-1
    	3	2	0	-2	8	1	-1	-4
	1	-4	-1	4	3	0	1	0
    	0	1	-4	-2	-3	-2	1	3
	-2	-1	-1	2	-2	-3	1	-1
    	5	-2	3	-3	-4	-1	-6	-1
	-5	-4	-2	-1	-4	2	-4	-2
    	1	1	-2	0	0	-4	2	1
	-1	5	-2	-1	-1	-2	4	3
    	-5	-3	-2	0	6	-3	-1	-1
	-6	1	4	-2	-2	1	-5	-5
    	-4	3	1	0	-1	1	-1	-1
	3	3	-1	0	-1	-4	-1	-2
    	6	-1	-3	3	-2	0	6	3
	2	0	1	0	1	-3	1	2
    	-2	-1	0	-1	1	2	-4	-2
	3	-2	-3	0	-1	1	-3	-2
    	2	-2	1	-1	5	1	5	1
	0	-5	-1	4	-2	-1	1	1
    	-1	0	2	-4	2	0	-1	-2
	1	0	-2	-1	0	0	-2	-2
    	2	-3	-1	2	-2	0	-5	-2
	0	0	-2	1	2	1	1	1
    	1	-2	2	0	-1	-3	3	4
	4	-3	-4	1	2	-1	1	0
    	-7	1	-1	0	0	-3	-4	-3
	4	0	-4	0	-2	1	-4	0
    	-1	1	-2	1	-2	-1	0	0
	-2	-3	-4	1	-5	0	5	4
    	-4	0	2	1	-1	-1	1	-5
	-1	1	3	0	7	1	-4	-2
    	-1	0	0	-1	1	1	-7	-2
	2	1	0	3	1	0	-4	-2
    	5	0	2	0	0	-2	0	0
	-2	-1	-1	0	0	-1	-3	1
